0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
1	5	0
1	5	0
1	8	0
1	10	0
2	14	0
5	21	0
7	41	0
10	100	0
12	147	0
16	229	0
32	363	0
53	550	0
78	776	0
134	1064	0
168	1339	0
194	1511	0
223	1619	0
257	1808	1
302	2030	4
357	2261	5
423	2515	6
498	2764	6
548	2883	7
593	2961	7
693	3182	8
792	3399	9
899	3633	12
998	3834	18
1127	4101	20
1193	4209	23
1252	4294	27
1375	4518	31
1511	4753	36
1676	4980	38
1784	5155	48
1912	5349	52
1988	5430	62
2034	5475	75
2157	5601	83
2346	5863	97
2541	6094	106
2741	6350	118
2877	6588	133
2969	6753	146
3025	6825	163
3210	7103	177
3356	7305	193
3528	7671	213
3725	7994	228
3920	8328	251
3983	8510	280
4030	8663	301
4197	8943	324
4363	9296	343
4495	9670	359
4604	9990	375
4758	10327	386
4823	10502	393
4879	10650	404
5018	11024	409
5129	11412	422
5238	11834	432
5331	12195	442
5394	12567	453
5430	12779	464
5455	12938	474
5534	13380	481
5637	14117	483
5722	14678	489
5827	15120	493
5930	15634	499
5954	15984	505
5979	16296	509
6068	16792	514
6156	17356	518
6222	17839	522
6271	18286	523
6313	18714	524
6337	19025	526
6358	19341	529
6371	19507	533
6385	19649	534
6389	19689	535
