Date,#,Positives,Negatives,Deaths
"Mar 01, 2020",1,0,0,0
"Mar 02, 2020",2,0,0,0
"Mar 03, 2020",3,0,0,0
"Mar 04, 2020",4,0,0,0
"Mar 05, 2020",5,1,0,0
"Mar 06, 2020",6,1,5,0
"Mar 07, 2020",7,1,5,0
"Mar 08, 2020",8,1,8,0
"Mar 09, 2020",9,1,10,0
"Mar 10, 2020",10,2,14,0
"Mar 11, 2020",11,5,21,0
"Mar 12, 2020",12,7,41,0
"Mar 13, 2020",13,10,100,0
"Mar 14, 2020",14,12,147,0
"Mar 15, 2020",15,16,229,0
"Mar 16, 2020",16,32,363,0
"Mar 17, 2020",17,53,550,0
"Mar 18, 2020",18,78,776,0
"Mar 19, 2020",19,134,1064,0
"Mar 20, 2020",20,168,1339,0
"Mar 21, 2020",21,194,1511,0
"Mar 22, 2020",22,223,1619,0
"Mar 23, 2020",23,257,1808,1
"Mar 24, 2020",24,302,2030,4
"Mar 25, 2020",25,357,2261,5
"Mar 26, 2020",26,423,2515,6
"Mar 27, 2020",27,498,2764,6
"Mar 28, 2020",28,548,2883,7
"Mar 29, 2020",29,593,2961,7
"Mar 30, 2020",30,693,3182,8
"Mar 31, 2020",31,792,3399,9
"Apr 01, 2020",32,899,3633,12
"Apr 02, 2020",33,998,3834,18
"Apr 03, 2020",34,1127,4101,20
"Apr 04, 2020",35,1193,4208,23
"Apr 05, 2020",36,1252,4293,27
"Apr 06, 2020",37,1375,4517,31
"Apr 07, 2020",38,1511,4752,36
"Apr 08, 2020",39,1676,4979,38
"Apr 09, 2020",40,1784,5154,48
"Apr 10, 2020",41,1912,5348,52
"Apr 11, 2020",42,1988,5429,62
"Apr 12, 2020",43,2034,5474,75
"Apr 13, 2020",44,2157,5600,83
"Apr 14, 2020",45,2346,5862,97
"Apr 15, 2020",46,2541,6093,106
"Apr 16, 2020",47,2741,6349,118
"Apr 17, 2020",48,2877,6587,133
"Apr 18, 2020",49,2970,6752,146
"Apr 19, 2020",50,3027,6824,163
"Apr 20, 2020",51,3212,7102,177
"Apr 21, 2020",52,3358,7303,193
"Apr 22, 2020",53,3530,7669,213
"Apr 23, 2020",54,3727,7992,228
"Apr 24, 2020",55,3923,8327,251
"Apr 25, 2020",56,3986,8509,280
"Apr 26, 2020",57,4033,8662,301
"Apr 27, 2020",58,4200,8942,324
"Apr 28, 2020",59,4366,9295,343
"Apr 29, 2020",60,4498,9669,359
"Apr 30, 2020",61,4607,9989,375
"May 01, 2020",62,4760,10326,386
"May 02, 2020",63,4825,10501,393
"May 03, 2020",64,4881,10649,404
"May 04, 2020",65,5019,11023,409
"May 05, 2020",66,5130,11409,422
"May 06, 2020",67,5240,11830,432
"May 07, 2020",68,5333,12191,442
"May 08, 2020",69,5396,12564,453
"May 09, 2020",70,5432,12776,464
"May 10, 2020",71,5458,12935,474
"May 11, 2020",72,5537,13377,483
"May 12, 2020",73,5640,14113,485
"May 13, 2020",74,5726,14674,491
"May 14, 2020",75,5831,15116,496
"May 15, 2020",76,5934,15630,502
"May 16, 2020",77,5958,15980,510
"May 17, 2020",78,5983,16292,514
"May 18, 2020",79,6072,16788,519
"May 19, 2020",80,6160,17351,523
"May 20, 2020",81,6225,17833,527
"May 21, 2020",82,6274,18279,528
"May 22, 2020",83,6324,18745,529
"May 23, 2020",84,6350,19168,531
"May 24, 2020",85,6371,19517,534
"May 25, 2020",86,6392,19732,539
"May 26, 2020",87,6419,20047,540
"May 27, 2020",88,6425,20171,541
"May 28, 2020",89,6427,20227,542
