County,State,Region,Phase,Effective_Date
Bradford,Pennsylvania,North Central,green,5/29/20
Centre,Pennsylvania,North Central,green,5/29/20
Clinton,Pennsylvania,North Central,green,6/5/20
Columbia,Pennsylvania,North Central,green,6/12/20
Lycoming,Pennsylvania,North Central,green,6/5/20
Montour,Pennsylvania,North Central,green,5/29/20
Northumberland,Pennsylvania,North Central,green,6/12/20
Potter,Pennsylvania,North Central,green,5/29/20
Snyder,Pennsylvania,North Central,green,5/29/20
Sullivan,Pennsylvania,North Central,green,5/29/20
Tioga,Pennsylvania,North Central,green,5/29/20
Union,Pennsylvania,North Central,green,6/12/20
Carbon,Pennsylvania,North East,green,6/12/20
Lackawanna,Pennsylvania,North East,yellow,6/5/20
Lehigh,Pennsylvania,North East,yellow,6/5/20
Luzerne,Pennsylvania,North East,green,6/19/20
Monroe,Pennsylvania,North East,green,6/19/20
Northampton,Pennsylvania,North East,yellow,6/5/20
Pike,Pennsylvania,North East,green,6/19/20
Susquehanna,Pennsylvania,North East,yellow,5/22/20
Wayne,Pennsylvania,North East,green,6/12/20
Wyoming,Pennsylvania,North East,green,6/12/20
Cameron,Pennsylvania,North West,green,5/29/20
Clarion,Pennsylvania,North West,green,5/29/20
Clearfield,Pennsylvania,North West,green,5/29/20
Crawford,Pennsylvania,North West,green,5/29/20
Elk,Pennsylvania,North West,green,5/29/20
Erie,Pennsylvania,North West,yellow,5/8/20
Forest,Pennsylvania,North West,green,5/29/20
Jefferson,Pennsylvania,North West,green,5/29/20
Lawrence,Pennsylvania,North West,green,5/29/20
McKean,Pennsylvania,North West,green,5/29/20
Mercer,Pennsylvania,North West,green,6/5/20
Venango,Pennsylvania,North West,green,5/29/20
Warren,Pennsylvania,North West,green,5/29/20
Adams,Pennsylvania,South Central,green,6/12/20
Bedford,Pennsylvania,South Central,green,6/5/20
Blair,Pennsylvania,South Central,green,6/5/20
Cumberland,Pennsylvania,South Central,green,6/12/20
Dauphin,Pennsylvania,South Central,green,6/19/20
Franklin,Pennsylvania,South Central,green,6/19/20
Fulton,Pennsylvania,South Central,green,6/5/20
Huntingdon,Pennsylvania,South Central,green,6/19/20
Juniata,Pennsylvania,South Central,green,6/12/20
Lebanon,Pennsylvania,South Central,yellow,5/29/20
Mifflin,Pennsylvania,South Central,green,6/12/20
Perry,Pennsylvania,South Central,green,6/19/20
York,Pennsylvania,South Central,green,6/12/20
Berks,Pennsylvania,South East,yellow,6/5/20
Bucks,Pennsylvania,South East,yellow,6/5/20
Chester,Pennsylvania,South East,yellow,6/5/20
Delaware,Pennsylvania,South East,yellow,6/5/20
Lancaster,Pennsylvania,South East,yellow,6/5/20
Montgomery,Pennsylvania,South East,yellow,6/5/20
Philadelphia,Pennsylvania,South East,yellow,6/5/20
Schuylkill,Pennsylvania,South East,green,6/19/20
Allegheny,Pennsylvania,South West,green,6/5/20
Armstrong,Pennsylvania,South West,green,6/5/20
Beaver,Pennsylvania,South West,green,6/12/20
Butler,Pennsylvania,South West,green,6/5/20
Cambria,Pennsylvania,South West,green,6/5/20
Fayette,Pennsylvania,South West,green,6/5/20
Greene,Pennsylvania,South West,green,6/5/20
Indiana,Pennsylvania,South West,green,6/5/20
Somerset,Pennsylvania,South West,green,6/5/20
Washington,Pennsylvania,South West,green,6/5/20
Westmoreland,Pennsylvania,South West,green,6/5/20
Albany,New York,Capital,blue,6/17/20
Columbia,New York,Capital,blue,6/17/20
Greene,New York,Capital,blue,6/17/20
Rensselaer,New York,Capital,blue,6/17/20
Saratoga,New York,Capital,blue,6/17/20
