Admin2,Province_State,Region
Autauga,Alabama,
Baldwin,Alabama,
Barbour,Alabama,
Bibb,Alabama,
Blount,Alabama,
Bullock,Alabama,
Butler,Alabama,
Calhoun,Alabama,
Chambers,Alabama,
Cherokee,Alabama,
Chilton,Alabama,
Choctaw,Alabama,
Clarke,Alabama,
Clay,Alabama,
Cleburne,Alabama,
Coffee,Alabama,
Colbert,Alabama,
Conecuh,Alabama,
Coosa,Alabama,
Covington,Alabama,
Crenshaw,Alabama,
Cullman,Alabama,
Dale,Alabama,
Dallas,Alabama,
DeKalb,Alabama,
Elmore,Alabama,
Escambia,Alabama,
Etowah,Alabama,
Fayette,Alabama,
Franklin,Alabama,
Geneva,Alabama,
Greene,Alabama,
Hale,Alabama,
Henry,Alabama,
Houston,Alabama,
Jackson,Alabama,
Jefferson,Alabama,
Lamar,Alabama,
Lauderdale,Alabama,
Lawrence,Alabama,
Lee,Alabama,
Limestone,Alabama,
Lowndes,Alabama,
Macon,Alabama,
Madison,Alabama,
Marengo,Alabama,
Marion,Alabama,
Marshall,Alabama,
Mobile,Alabama,
Monroe,Alabama,
Montgomery,Alabama,
Morgan,Alabama,
Perry,Alabama,
Pickens,Alabama,
Pike,Alabama,
Randolph,Alabama,
Russell,Alabama,
St. Clair,Alabama,
Shelby,Alabama,
Sumter,Alabama,
Talladega,Alabama,
Tallapoosa,Alabama,
Tuscaloosa,Alabama,
Walker,Alabama,
Washington,Alabama,
Wilcox,Alabama,
Winston,Alabama,
Aleutians East,Alaska,
Aleutians West,Alaska,
Anchorage,Alaska,
Bethel,Alaska,
Bristol Bay,Alaska,
Denali,Alaska,
Dillingham,Alaska,
Fairbanks North Star,Alaska,
Haines,Alaska,
Hoonah-Angoon,Alaska,
Juneau,Alaska,
Kenai Peninsula,Alaska,
Ketchikan Gateway,Alaska,
Kodiak Island,Alaska,
Kusilvak,Alaska,
Lake and Peninsula,Alaska,
Matanuska-Susitna,Alaska,
Nome,Alaska,
North Slope,Alaska,
Northwest Arctic,Alaska,
Petersburg,Alaska,
Prince of Wales-Hyder,Alaska,
Sitka,Alaska,
Skagway,Alaska,
Southeast Fairbanks,Alaska,
Valdez-Cordova,Alaska,
Wrangell,Alaska,
Yakutat,Alaska,
Yukon-Koyukuk,Alaska,
Apache,Arizona,
Cochise,Arizona,
Coconino,Arizona,
Gila,Arizona,
Graham,Arizona,
Greenlee,Arizona,
La Paz,Arizona,
Maricopa,Arizona,
Mohave,Arizona,
Navajo,Arizona,
Pima,Arizona,
Pinal,Arizona,
Santa Cruz,Arizona,
Yavapai,Arizona,
Yuma,Arizona,
Arkansas,Arkansas,
Ashley,Arkansas,
Baxter,Arkansas,
Benton,Arkansas,
Boone,Arkansas,
Bradley,Arkansas,
Calhoun,Arkansas,
Carroll,Arkansas,
Chicot,Arkansas,
Clark,Arkansas,
Clay,Arkansas,
Cleburne,Arkansas,
Cleveland,Arkansas,
Columbia,Arkansas,
Conway,Arkansas,
Craighead,Arkansas,
Crawford,Arkansas,
Crittenden,Arkansas,
Cross,Arkansas,
Dallas,Arkansas,
Desha,Arkansas,
Drew,Arkansas,
Faulkner,Arkansas,
Franklin,Arkansas,
Fulton,Arkansas,
Garland,Arkansas,
Grant,Arkansas,
Greene,Arkansas,
Hempstead,Arkansas,
Hot Spring,Arkansas,
Howard,Arkansas,
Independence,Arkansas,
Izard,Arkansas,
Jackson,Arkansas,
Jefferson,Arkansas,
Johnson,Arkansas,
Lafayette,Arkansas,
Lawrence,Arkansas,
Lee,Arkansas,
Lincoln,Arkansas,
Little River,Arkansas,
Logan,Arkansas,
Lonoke,Arkansas,
Madison,Arkansas,
Marion,Arkansas,
Miller,Arkansas,
Mississippi,Arkansas,
Monroe,Arkansas,
Montgomery,Arkansas,
Nevada,Arkansas,
Newton,Arkansas,
Ouachita,Arkansas,
Perry,Arkansas,
Phillips,Arkansas,
Pike,Arkansas,
Poinsett,Arkansas,
Polk,Arkansas,
Pope,Arkansas,
Prairie,Arkansas,
Pulaski,Arkansas,
Randolph,Arkansas,
St. Francis,Arkansas,
Saline,Arkansas,
Scott,Arkansas,
Searcy,Arkansas,
Sebastian,Arkansas,
Sevier,Arkansas,
Sharp,Arkansas,
Stone,Arkansas,
Union,Arkansas,
Van Buren,Arkansas,
Washington,Arkansas,
White,Arkansas,
Woodruff,Arkansas,
Yell,Arkansas,
Alameda,California,Bay Area
Alpine,California,
Amador,California,
Butte,California,
Calaveras,California,
Colusa,California,
Contra Costa,California,Bay Area
Del Norte,California,
El Dorado,California,
Fresno,California,
Glenn,California,
Humboldt,California,
Imperial,California,
Inyo,California,
Kern,California,
Kings,California,
Lake,California,
Lassen,California,
Los Angeles,California,Greater LA Area
Madera,California,
Marin,California,Bay Area
Mariposa,California,
Mendocino,California,
Merced,California,
Modoc,California,
Mono,California,
Monterey,California,
Napa,California,Bay Area
Nevada,California,
Orange,California,Greater LA Area
Placer,California,
Plumas,California,
Riverside,California,Greater LA Area
Sacramento,California,
San Benito,California,
San Bernardino,California,Greater LA Area
San Diego,California,
San Francisco,California,Bay Area
San Joaquin,California,
San Luis Obispo,California,
San Mateo,California,Bay Area
Santa Barbara,California,
Santa Clara,California,Bay Area
Santa Cruz,California,
Shasta,California,
Sierra,California,
Siskiyou,California,
Solano,California,Bay Area
Sonoma,California,Bay Area
Stanislaus,California,
Sutter,California,
Tehama,California,
Trinity,California,
Tulare,California,
Tuolumne,California,
Ventura,California,Greater LA Area
Yolo,California,
Yuba,California,
Adams,Colorado,
Alamosa,Colorado,
Arapahoe,Colorado,
Archuleta,Colorado,
Baca,Colorado,
Bent,Colorado,
Boulder,Colorado,
Broomfield,Colorado,
Chaffee,Colorado,
Cheyenne,Colorado,
Clear Creek,Colorado,
Conejos,Colorado,
Costilla,Colorado,
Crowley,Colorado,
Custer,Colorado,
Delta,Colorado,
Denver,Colorado,
Dolores,Colorado,
Douglas,Colorado,
Eagle,Colorado,
Elbert,Colorado,
El Paso,Colorado,
Fremont,Colorado,
Garfield,Colorado,
Gilpin,Colorado,
Grand,Colorado,
Gunnison,Colorado,
Hinsdale,Colorado,
Huerfano,Colorado,
Jackson,Colorado,
Jefferson,Colorado,
Kiowa,Colorado,
Kit Carson,Colorado,
Lake,Colorado,
La Plata,Colorado,
Larimer,Colorado,
Las Animas,Colorado,
Lincoln,Colorado,
Logan,Colorado,
Mesa,Colorado,
Mineral,Colorado,
Moffat,Colorado,
Montezuma,Colorado,
Montrose,Colorado,
Morgan,Colorado,
Otero,Colorado,
Ouray,Colorado,
Park,Colorado,
Phillips,Colorado,
Pitkin,Colorado,
Prowers,Colorado,
Pueblo,Colorado,
Rio Blanco,Colorado,
Rio Grande,Colorado,
Routt,Colorado,
Saguache,Colorado,
San Juan,Colorado,
San Miguel,Colorado,
Sedgwick,Colorado,
Summit,Colorado,
Teller,Colorado,
Washington,Colorado,
Weld,Colorado,
Yuma,Colorado,
Fairfield,Connecticut,
Hartford,Connecticut,
Litchfield,Connecticut,
Middlesex,Connecticut,
New Haven,Connecticut,
New London,Connecticut,
Tolland,Connecticut,
Windham,Connecticut,
Kent,Delaware,
New Castle,Delaware,
Sussex,Delaware,
District of Columbia,District of Columbia,
Alachua,Florida,
Baker,Florida,
Bay,Florida,
Bradford,Florida,
Brevard,Florida,
Broward,Florida,
Calhoun,Florida,
Charlotte,Florida,
Citrus,Florida,
Clay,Florida,
Collier,Florida,
Columbia,Florida,
DeSoto,Florida,
Dixie,Florida,
Duval,Florida,
Escambia,Florida,
Flagler,Florida,
Franklin,Florida,
Gadsden,Florida,
Gilchrist,Florida,
Glades,Florida,
Gulf,Florida,
Hamilton,Florida,
Hardee,Florida,
Hendry,Florida,
Hernando,Florida,
Highlands,Florida,
Hillsborough,Florida,
Holmes,Florida,
Indian River,Florida,
Jackson,Florida,
Jefferson,Florida,
Lafayette,Florida,
Lake,Florida,
Lee,Florida,
Leon,Florida,
Levy,Florida,
Liberty,Florida,
Madison,Florida,
Manatee,Florida,
Marion,Florida,
Martin,Florida,
Miami-Dade,Florida,
Monroe,Florida,
Nassau,Florida,
Okaloosa,Florida,
Okeechobee,Florida,
Orange,Florida,
Osceola,Florida,
Palm Beach,Florida,
Pasco,Florida,
Pinellas,Florida,
Polk,Florida,
Putnam,Florida,
St. Johns,Florida,
St. Lucie,Florida,
Santa Rosa,Florida,
Sarasota,Florida,
Seminole,Florida,
Sumter,Florida,
Suwannee,Florida,
Taylor,Florida,
Union,Florida,
Volusia,Florida,
Wakulla,Florida,
Walton,Florida,
Washington,Florida,
Appling,Georgia,
Atkinson,Georgia,
Bacon,Georgia,
Baker,Georgia,
Baldwin,Georgia,
Banks,Georgia,
Barrow,Georgia,
Bartow,Georgia,
Ben Hill,Georgia,
Berrien,Georgia,
Bibb,Georgia,
Bleckley,Georgia,
Brantley,Georgia,
Brooks,Georgia,
Bryan,Georgia,
Bulloch,Georgia,
Burke,Georgia,
Butts,Georgia,
Calhoun,Georgia,
Camden,Georgia,
Candler,Georgia,
Carroll,Georgia,
Catoosa,Georgia,
Charlton,Georgia,
Chatham,Georgia,
Chattahoochee,Georgia,
Chattooga,Georgia,
Cherokee,Georgia,
Clarke,Georgia,
Clay,Georgia,
Clayton,Georgia,
Clinch,Georgia,
Cobb,Georgia,Atlanta
Coffee,Georgia,
Colquitt,Georgia,
Columbia,Georgia,
Cook,Georgia,
Coweta,Georgia,
Crawford,Georgia,
Crisp,Georgia,
Dade,Georgia,
Dawson,Georgia,
Decatur,Georgia,
DeKalb,Georgia,Atlanta
Dodge,Georgia,
Dooly,Georgia,
Dougherty,Georgia,
Douglas,Georgia,
Early,Georgia,
Echols,Georgia,
Effingham,Georgia,
Elbert,Georgia,
Emanuel,Georgia,
Evans,Georgia,
Fannin,Georgia,
Fayette,Georgia,
Floyd,Georgia,
Forsyth,Georgia,
Franklin,Georgia,
Fulton,Georgia,Atlanta
Gilmer,Georgia,
Glascock,Georgia,
Glynn,Georgia,
Gordon,Georgia,
Grady,Georgia,
Greene,Georgia,
Gwinnett,Georgia,Atlanta
Habersham,Georgia,
Hall,Georgia,
Hancock,Georgia,
Haralson,Georgia,
Harris,Georgia,
Hart,Georgia,
Heard,Georgia,
Henry,Georgia,
Houston,Georgia,
Irwin,Georgia,
Jackson,Georgia,
Jasper,Georgia,
Jeff Davis,Georgia,
Jefferson,Georgia,
Jenkins,Georgia,
Johnson,Georgia,
Jones,Georgia,
Lamar,Georgia,
Lanier,Georgia,
Laurens,Georgia,
Lee,Georgia,
Liberty,Georgia,
Lincoln,Georgia,
Long,Georgia,
Lowndes,Georgia,
Lumpkin,Georgia,
McDuffie,Georgia,
McIntosh,Georgia,
Macon,Georgia,
Madison,Georgia,
Marion,Georgia,
Meriwether,Georgia,
Miller,Georgia,
Mitchell,Georgia,
Monroe,Georgia,
Montgomery,Georgia,
Morgan,Georgia,
Murray,Georgia,
Muscogee,Georgia,
Newton,Georgia,
Oconee,Georgia,
Oglethorpe,Georgia,
Paulding,Georgia,
Peach,Georgia,
Pickens,Georgia,
Pierce,Georgia,
Pike,Georgia,
Polk,Georgia,
Pulaski,Georgia,
Putnam,Georgia,
Quitman,Georgia,
Rabun,Georgia,
Randolph,Georgia,
Richmond,Georgia,
Rockdale,Georgia,
Schley,Georgia,
Screven,Georgia,
Seminole,Georgia,
Spalding,Georgia,
Stephens,Georgia,
Stewart,Georgia,
Sumter,Georgia,
Talbot,Georgia,
Taliaferro,Georgia,
Tattnall,Georgia,
Taylor,Georgia,
Telfair,Georgia,
Terrell,Georgia,
Thomas,Georgia,
Tift,Georgia,
Toombs,Georgia,
Towns,Georgia,
Treutlen,Georgia,
Troup,Georgia,
Turner,Georgia,
Twiggs,Georgia,
Union,Georgia,
Upson,Georgia,
Walker,Georgia,
Walton,Georgia,
Ware,Georgia,
Warren,Georgia,
Washington,Georgia,
Wayne,Georgia,
Webster,Georgia,
Wheeler,Georgia,
White,Georgia,
Whitfield,Georgia,
Wilcox,Georgia,
Wilkes,Georgia,
Wilkinson,Georgia,
Worth,Georgia,
Hawaii,Hawaii,
Honolulu,Hawaii,
Kalawao,Hawaii,
Kauai,Hawaii,
Maui,Hawaii,
Ada,Idaho,
Adams,Idaho,
Bannock,Idaho,
Bear Lake,Idaho,
Benewah,Idaho,
Bingham,Idaho,
Blaine,Idaho,
Boise,Idaho,
Bonner,Idaho,
Bonneville,Idaho,
Boundary,Idaho,
Butte,Idaho,
Camas,Idaho,
Canyon,Idaho,
Caribou,Idaho,
Cassia,Idaho,
Clark,Idaho,
Clearwater,Idaho,
Custer,Idaho,
Elmore,Idaho,
Franklin,Idaho,
Fremont,Idaho,
Gem,Idaho,
Gooding,Idaho,
Idaho,Idaho,
Jefferson,Idaho,
Jerome,Idaho,
Kootenai,Idaho,
Latah,Idaho,
Lemhi,Idaho,
Lewis,Idaho,
Lincoln,Idaho,
Madison,Idaho,
Minidoka,Idaho,
Nez Perce,Idaho,
Oneida,Idaho,
Owyhee,Idaho,
Payette,Idaho,
Power,Idaho,
Shoshone,Idaho,
Teton,Idaho,
Twin Falls,Idaho,
Valley,Idaho,
Washington,Idaho,
Adams,Illinois,
Alexander,Illinois,
Bond,Illinois,
Boone,Illinois,
Brown,Illinois,
Bureau,Illinois,
Calhoun,Illinois,
Carroll,Illinois,
Cass,Illinois,
Champaign,Illinois,
Christian,Illinois,
Clark,Illinois,
Clay,Illinois,
Clinton,Illinois,
Coles,Illinois,
Cook,Illinois,
Crawford,Illinois,
Cumberland,Illinois,
DeKalb,Illinois,
De Witt,Illinois,
Douglas,Illinois,
DuPage,Illinois,
Edgar,Illinois,
Edwards,Illinois,
Effingham,Illinois,
Fayette,Illinois,
Ford,Illinois,
Franklin,Illinois,
Fulton,Illinois,
Gallatin,Illinois,
Greene,Illinois,
Grundy,Illinois,
Hamilton,Illinois,
Hancock,Illinois,
Hardin,Illinois,
Henderson,Illinois,
Henry,Illinois,
Iroquois,Illinois,
Jackson,Illinois,
Jasper,Illinois,
Jefferson,Illinois,
Jersey,Illinois,
Jo Daviess,Illinois,
Johnson,Illinois,
Kane,Illinois,
Kankakee,Illinois,
Kendall,Illinois,
Knox,Illinois,
Lake,Illinois,
LaSalle,Illinois,
Lawrence,Illinois,
Lee,Illinois,
Livingston,Illinois,
Logan,Illinois,
McDonough,Illinois,
McHenry,Illinois,
McLean,Illinois,
Macon,Illinois,
Macoupin,Illinois,
Madison,Illinois,
